Company,Modified DEI initatives,Made in El Salvador,Donated to Trump Campaign,Donated to Trump Inauguration,Donated to Biden Inauguration 2020,Notes
Jim'n Nick's Bar-B-Q,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Jimmy John's Sandwiches,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
KE Camps,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Keller Williams Realty,FALSE,FALSE,TRUE,FALSE,FALSE,
Citadel,FALSE,FALSE,FALSE,TRUE,TRUE,"Billionaire CEO Ken Griffin, Republican megadonor, donated $1 million to inauguration"
Keystone Light,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Kraken,FALSE,FALSE,FALSE,TRUE,FALSE,Donated $1 million to inauguration
Lech,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Leinenkugel's,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
L'Eggs,FALSE,FALSE,FALSE,FALSE,FALSE,Subsidiary of HanesBrands
Los Angeles Angels,FALSE,FALSE,TRUE,FALSE,FALSE,
Land O'Lakes,FALSE,FALSE,TRUE,FALSE,FALSE,"Subsidiary of Land O' Lakes, Inc."
Las Vegas Sands Resorts,FALSE,FALSE,TRUE,FALSE,FALSE,
Laura Scudder's,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Lowe's,TRUE,FALSE,FALSE,FALSE,FALSE,
Maaco,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Maidenform,FALSE,FALSE,FALSE,FALSE,FALSE,Subsidiary of HanesBrands
"Martin's Famous Pastry Shoppe, Inc.",FALSE,FALSE,TRUE,FALSE,FALSE,
Massage Envy,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Mathnasium,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
McAlister's,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
McDonald's,TRUE,FALSE,TRUE,FALSE,FALSE,
Medaglia D'Oro,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
meineke,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Merita,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Merlin Complete Auto Care,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
merry maids,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Meow Mix,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Meta,TRUE,FALSE,FALSE,TRUE,FALSE,Donated $1 million to inauguration
Instagram,TRUE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Meta
WhatsApp,TRUE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Meta
Threads,TRUE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Meta
Mi Casa,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Mickey's Fine Malt Liquor,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Microsoft,FALSE,FALSE,FALSE,TRUE,TRUE,Donated $1 million to inauguration
Xbox Game Studios,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Microsoft
Double Fine Productions,FALSE,FALSE,FALSE,TRUE,TRUE,"Subsidiary of Xbox Game Studios, a subsidiary of Microsoft"
Activition Blizzard,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Microsoft
LinkedIn,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Microsoft
GitHub,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Microsoft
Mojang Studios,FALSE,FALSE,FALSE,TRUE,TRUE,"Subsidiary of Xbox Game Studios, a subsidiary of Microsoft"
ZeniMax Media,FALSE,FALSE,FALSE,TRUE,TRUE,Subsidiary of Microsoft; among original board members were Les Moonves and Robert Trump
Bethesda Softworks / Game Studios,FALSE,FALSE,FALSE,TRUE,TRUE,"Subsidiary of ZeniMax Media, a subsidiary of Microsoft"
Milk Bone,FALSE,FALSE,FALSE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Milo's Kitchen,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Miller,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of MolsonCoors
Miller's Ale House,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Milwaukee's Best,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of MolsonCoors
molex,FALSE,FALSE,TRUE,FALSE,FALSE,A Koch company
Molson,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Moe's Southwest Grill,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
MoonPay,FALSE,FALSE,FALSE,TRUE,FALSE,
Motorola Solutions,FALSE,FALSE,TRUE,FALSE,FALSE,"Not to be confused with Motorola Mobility, which manufactures mobile phones and did not donate."
Mr. Freshley's,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
MyPillow,FALSE,FALSE,TRUE,FALSE,FALSE,
NAPA Auto Parts ,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Genuine Parts Company
Nature's Own,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
New Orleans Saints (NFL),FALSE,FALSE,TRUE,FALSE,FALSE,
Norwegian Cruise Lines,FALSE,FALSE,TRUE,FALSE,FALSE,
Nothing Bundt Cakes,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Olde English 800,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Omni Hotels ,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of TRT Holdings
Orangetheory,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Papa John's,FALSE,FALSE,TRUE,FALSE,FALSE,
Papa Pita,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
PayPal,TRUE,FALSE,FALSE,FALSE,FALSE,
Perdue Farms,FALSE,FALSE,TRUE,FALSE,FALSE,
Peroni,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Perplexity AI,FALSE,FALSE,FALSE,TRUE,FALSE,Donated $1 million to inauguration
petvalu,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Pfizer,FALSE,FALSE,FALSE,TRUE,TRUE,Donated $1 million to inauguration
PhRMA,FALSE,FALSE,FALSE,TRUE,FALSE,Donated $1 million to inauguration
Pilsner Urquell,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Playtex,FALSE,TRUE,FALSE,FALSE,FALSE,Subsidiary of HanesBrands
Pratt Industries,FALSE,FALSE,FALSE,TRUE,FALSE,"Chaired by Australian billionaire Anthony Pratt, a Mar-a-Lago member, who donated $1.1 million"
Primrose Schools,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Public Storage Self Storage,FALSE,FALSE,TRUE,FALSE,FALSE,
Publix Super Markets,FALSE,FALSE,TRUE,FALSE,FALSE,
Pupperoni,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Purina,FALSE,FALSE,TRUE,FALSE,FALSE,"Subsidiary of Land O' Lakes, Inc."
PBS,TRUE,FALSE,FALSE,FALSE,FALSE,
Quilted Northern,FALSE,FALSE,TRUE,FALSE,FALSE,"Subsidiary of Georgia-Pacific, a Koch company"
Redd's,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Ripple,FALSE,FALSE,FALSE,TRUE,FALSE,Donated $5 million in the form of its cryptocurrency token
Robinhood,FALSE,FALSE,FALSE,TRUE,FALSE,Donated $2 million to inauguration
Estée Lauder,FALSE,FALSE,FALSE,TRUE,FALSE,Heir and friend of Trump Ronald Lauder donated $1 million to inauguration 
Roxie,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
OpenAI,FALSE,FALSE,FALSE,TRUE,FALSE,CEO Sam Altman donated $1 million to inauguration
Schlotzky's,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
School of Rock,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Seattle's Best Coffee,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
ServiceMASTER,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Simple Mills,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Simply Spiked,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Slumberland,FALSE,FALSE,TRUE,FALSE,FALSE,
Smithsonian,TRUE,FALSE,FALSE,FALSE,FALSE,
Smucker's,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Sol,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Sonic,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Sparkle,FALSE,FALSE,TRUE,FALSE,FALSE,"Subsidiary of Georgia-Pacific, a Koch company"
Stanley Black & Decker,FALSE,FALSE,TRUE,TRUE,FALSE,Donated $1 million to inauguration; donated to 2016 campaign
Stanley  ,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Stanley Black & Decker
Black & Decker,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Stanley Black & Decker
DeWalt,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Stanley Black & Decker
Porter-Cable,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Stanley Black & Decker
Craftsman,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Stanley Black & Decker
Irwin Industrial Tools,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Stanley Black & Decker
Bostitch,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Stanley Black & Decker
Mac Tools,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Stanley Black & Decker
Cub Cadet,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Stanley Black & Decker
Troy-Bilt,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Stanley Black & Decker
Star Furniture,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Berkshire Hathaway
Starbucks,TRUE,FALSE,FALSE,FALSE,FALSE,
Steel Reserve,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Streamline Brands,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Stronger U Nutrition,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Subway,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Sunbeam Bread,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flower Foods
Sunny Provisions,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Take 5 Oil Change,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Tampa Bay Buccaneers (NFL),FALSE,FALSE,TRUE,FALSE,FALSE,"Owned by Glazer family, who donated"
Target,TRUE,FALSE,FALSE,TRUE,FALSE,
The Bar Method,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Apple,FALSE,FALSE,FALSE,TRUE,FALSE,CEO Tim Cook donated $1 million to inauguration
Toastmaster,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Spectrum Brands
Topo Chico Hard Seltzer,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Toyota,FALSE,FALSE,FALSE,TRUE,FALSE,Donated $1 million to inauguration
Tractor Supply Company ,TRUE,FALSE,TRUE,FALSE,FALSE,
Two Men and a Truck,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Tyskie,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Uncrustables,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of J. M. Smucker Company
Uniban Canada,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Uber,FALSE,FALSE,FALSE,TRUE,TRUE,Doanted $2 million (including $1 million from CEO Dara Khosrowshahi)
Urban Outfitters,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Urban Outfitters
U.S. Baseball Academy,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
US Sports Camps,FALSE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Roark Capital
Vanity Fair (Napkins),FALSE,FALSE,TRUE,FALSE,FALSE,"Subsidiary of Georgia-Pacific, a Koch company"
Venmo,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of PayPal
Vizzy,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Walmart,TRUE,FALSE,TRUE,TRUE,TRUE,
Waxing the City,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Roark Capital
Wendy's,FALSE,FALSE,TRUE,FALSE,FALSE,
Wonder Bread ,FALSE,FALSE,TRUE,FALSE,FALSE,Subsidiary of Flowers Foods
Wonderbra,FALSE,TRUE,FALSE,FALSE,FALSE,Subsidiary of HanesBrands
Wynn Resorts,FALSE,FALSE,TRUE,FALSE,FALSE,
Zima,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
Zoa,TRUE,FALSE,TRUE,FALSE,FALSE,Subsidiary of MolsonCoors
MLB,TRUE,FALSE,FALSE,FALSE,FALSE,
Victoria's Secret,TRUE,FALSE,FALSE,FALSE,FALSE,
State Street,TRUE,FALSE,FALSE,FALSE,FALSE,
Warner Bros. Discovery,TRUE,FALSE,FALSE,FALSE,FALSE,
Paramount,TRUE,FALSE,FALSE,FALSE,FALSE,
BlackRock,TRUE,FALSE,FALSE,TRUE,FALSE,
Citibank,TRUE,FALSE,FALSE,TRUE,FALSE,
JPMorgan Chase,FALSE,FALSE,FALSE,TRUE,FALSE,
Morgan Stanley,TRUE,FALSE,FALSE,FALSE,FALSE,
Coca-Cola,FALSE,FALSE,FALSE,TRUE,TRUE,
Deloitte,TRUE,FALSE,FALSE,FALSE,FALSE,
Gildan,FALSE,TRUE,FALSE,FALSE,FALSE,
Diana,FALSE,TRUE,FALSE,FALSE,FALSE,
Indufoam,FALSE,TRUE,FALSE,FALSE,FALSE,"Primarily produces foam mattresses; partners with Simmons Bedding Company (Serta, Beauty Rest)"
Bon Appetit,FALSE,TRUE,FALSE,FALSE,FALSE,
Livsmart,FALSE,TRUE,FALSE,FALSE,FALSE,
Jumex,FALSE,TRUE,FALSE,FALSE,FALSE,
Salvaplastic,FALSE,TRUE,FALSE,FALSE,FALSE,
Vanity Fair Lingerie,FALSE,TRUE,TRUE,FALSE,FALSE,Subsidiary of Fruit of the Loom
Spalding,FALSE,TRUE,TRUE,FALSE,FALSE,Subsidiary of Fruit of the Loom
BVD,FALSE,TRUE,TRUE,FALSE,FALSE,Subsidiary of Fruit of the Loom
Jerzees,FALSE,TRUE,TRUE,FALSE,FALSE,Subsidiary of Fruit of the Loom
Russell Athletic,FALSE,TRUE,TRUE,FALSE,FALSE,Subsidiary of Fruit of the Loom
American Apparel,FALSE,TRUE,FALSE,FALSE,FALSE,Subsidiary of Gildan
Goldtoe,FALSE,TRUE,FALSE,FALSE,FALSE,Subsidiary of Gildan
Peds,FALSE,TRUE,FALSE,FALSE,FALSE,Subsidiary of Gildan
Comfort Colors,FALSE,TRUE,FALSE,FALSE,FALSE,Subsidiary of Gildan
IBM,TRUE,FALSE,FALSE,TRUE,FALSE,
Gannett,TRUE,FALSE,FALSE,FALSE,FALSE,Largest newspaper publisher in the US
Constellation Brands Inc.,TRUE,FALSE,FALSE,FALSE,FALSE,Corona and Modelo Especial beer
UnitedHealth,TRUE,FALSE,FALSE,FALSE,FALSE,
Pilgrim's Pride,FALSE,FALSE,FALSE,TRUE,FALSE,Donated $5 million to inauguration
Chevron,FALSE,FALSE,FALSE,TRUE,FALSE,
Tang Family Trust,FALSE,FALSE,FALSE,TRUE,FALSE,
Vapor Technology Association,FALSE,FALSE,FALSE,TRUE,FALSE,
Cantor Fitzgerald,FALSE,FALSE,FALSE,TRUE,FALSE,
FedEx,FALSE,FALSE,FALSE,FALSE,FALSE,
Shift4,FALSE,FALSE,FALSE,TRUE,FALSE,CEO Jared Isaacman donated $2 million to inauguration
Stephens Inc.,FALSE,FALSE,FALSE,TRUE,FALSE,"Warren Stephens donated $4M, among other investments; now ambassador to UK"
Intercontinental Exchange,FALSE,FALSE,FALSE,TRUE,FALSE,"CEO Jeffrey Sprecher donated $1M and is married to Kelly Loeffler, Trump's appointee to the Small Business Administration; he is also chairman of the NYSE"
Houston Rockets,FALSE,FALSE,TRUE,TRUE,FALSE,Owner (and now US Ambassador to Italy) Tilman Fertitta donated $400K+ to campaign and $1 million to inauguration
Circle,FALSE,FALSE,FALSE,TRUE,FALSE,
crypto.com,FALSE,FALSE,FALSE,TRUE,FALSE,
Galaxy Digital Services,FALSE,FALSE,FALSE,TRUE,FALSE,
Ondo Finance,FALSE,FALSE,FALSE,TRUE,FALSE,
Payward,FALSE,FALSE,FALSE,TRUE,FALSE,
Solana Labs,FALSE,FALSE,FALSE,TRUE,FALSE,
Broadcom,FALSE,FALSE,FALSE,TRUE,FALSE,
C3 AI,FALSE,FALSE,FALSE,TRUE,FALSE,
Citrix Systems,FALSE,FALSE,FALSE,TRUE,FALSE,
Coupang,FALSE,FALSE,FALSE,TRUE,FALSE,
Micron Technology,FALSE,FALSE,FALSE,TRUE,FALSE,
Nvidia,FALSE,FALSE,FALSE,TRUE,FALSE,
Second Front Systems,FALSE,FALSE,FALSE,TRUE,FALSE,
IMG Artists,FALSE,FALSE,FALSE,TRUE,FALSE,Owner and Russian oligarch Alexander Shustorovich donated $1M
Altria,FALSE,FALSE,FALSE,TRUE,FALSE,
Applied Materials,FALSE,FALSE,FALSE,TRUE,FALSE,
AshBritt,FALSE,FALSE,FALSE,TRUE,FALSE,
Aspect Holdings,FALSE,FALSE,FALSE,TRUE,FALSE,
Austin Family Trust,FALSE,FALSE,FALSE,TRUE,FALSE,
Bank OZK,FALSE,FALSE,FALSE,TRUE,FALSE,
Bayer,FALSE,FALSE,FALSE,TRUE,FALSE,
Qualcomm,FALSE,FALSE,FALSE,TRUE,FALSE,
ConocoPhillips,FALSE,FALSE,FALSE,TRUE,FALSE,
Delta Airlines,FALSE,FALSE,FALSE,TRUE,FALSE,
Shell,FALSE,FALSE,FALSE,TRUE,FALSE,
Jack Daniel's,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Woodford Reserve,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Old Forester,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Benriach,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Slane Irish Whiskey,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Cooper's Craft,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Glenglassaugh,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Glendronach,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Herradura Tequila,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
El Jimador Tequila,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Diplomatico Rum,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Fords Gin,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Gin Mare,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Chambord,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Korbel,TRUE,FALSE,FALSE,FALSE,FALSE,Subsidiary of Brown Forman
Johnson & Johnson,FALSE,FALSE,FALSE,TRUE,FALSE,
Merck,FALSE,FALSE,FALSE,TRUE,FALSE,
Amgen,FALSE,FALSE,FALSE,TRUE,TRUE,
Live Nation,FALSE,FALSE,FALSE,TRUE,FALSE,
DraftKings,FALSE,FALSE,FALSE,TRUE,FALSE,
FanDuel,FALSE,FALSE,FALSE,TRUE,FALSE,
Hyundai,FALSE,FALSE,FALSE,TRUE,FALSE,"Represented by Chartwell Strategy Group, which raised more than $3M for their clients"
Visa,FALSE,FALSE,FALSE,TRUE,FALSE,
Cal-Organic Farms,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Grimmway Farms; co-owned by Barbara Grimm Marshall
Bunny-Luv,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Grimmway Farms; co-owned by Barbara Grimm Marshall
Grimmway Carrots,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of Grimmway Farms; co-owned by Barbara Grimm Marshall
General Motors,TRUE,FALSE,FALSE,TRUE,TRUE,
Chevrolet,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of GM
Buick,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of GM
GMC,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of GM
Cadillac,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of GM
OnStar,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of GM
ACDelco,TRUE,FALSE,FALSE,TRUE,TRUE,Subsidiary of GM
Landry's  ,FALSE,FALSE,TRUE,TRUE,FALSE,CEO (and now US Ambassador to Italy) Tilman Fertitta donated $400K+ to campaign and $1 million to inauguration
Landry's Seafood House,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Willie G's Seafood & Steaks,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Joe's Crab Shack,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
McCormick & Schmick's Seafood & Steaks,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Chart House,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
The Oceanaire Seafood Room,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
The Crab House,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Bubba Gump Shrimp Co.,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Aquarium Restaurants,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
The Boathouse Restaurants,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Mitchell's Fish Market,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Portland Seafood Company,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Babin's Seafood House,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Kincaid's,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Fish Tales,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Cutters Crabhouse,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Simon & Seaforts,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Atlantic Grill,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Morton's The Steakhouse,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Mastro's Steakhouse and Ocean Club,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Del Frisco's Double Eagle Steakhouse,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Del Frisco's Grille,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Vic & Anthony's Steakhouse,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Saltgrass Steak House,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Brenner's Steakhouse,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Brenner's on the Bayou,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Strip House,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
King Ranch Texas Kitchen,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Grotto,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
La Griglia,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Rainforest Cafe,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Claim Jumper,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Cadillac Bar,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Dos Caminos,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Bill's Bar & Burger,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Brick House Tavern + Tap,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Henry's Tavern,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Palomino Restaurant & Bar,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Manzana Grill,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Stanford's,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Portland City Grill,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Skates on the Bay,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Horatio's,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Palisade,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
The Gandy Dancer,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Charley's Crab,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Meriwether's,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
The Grand Concourse,FALSE,FALSE,TRUE,TRUE,FALSE,Subsidiary of Landry's
Uline,FALSE,FALSE,TRUE,FALSE,FALSE,"Founders Richard & Elizabeth Uihlein donated $137,775,196 to Trump 2024 campaign and other Republican candidates, committes and PACs"
Las Vegas Review-Journal,FALSE,FALSE,TRUE,FALSE,FALSE,"Owned by Miriam Adelson who donated $136,855,701 to Trump 2024 campaign and other Republican candidates, committes and PACs"
Dallas Mavericks,FALSE,FALSE,TRUE,FALSE,FALSE,"Owned by Miriam Adelson who donated $136,855,701 to Trump 2024 campaign and other Republican candidates, committes and PACs"
Tesla,TRUE,FALSE,TRUE,FALSE,FALSE,CEO Elon Musk donated $290 million to Trump and pro-Trump groups
X,TRUE,FALSE,TRUE,FALSE,FALSE,CEO Elon Musk donated $290 million to Trump and pro-Trump groups
Airbnb,FALSE,FALSE,FALSE,TRUE,TRUE,
Anthropic,FALSE,FALSE,FALSE,TRUE,FALSE,
Doordash,FALSE,FALSE,FALSE,TRUE,TRUE,
HP,FALSE,FALSE,FALSE,TRUE,FALSE,
Spotify,FALSE,FALSE,FALSE,TRUE,FALSE,
Buffalo's Café,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
Elevation Burger,FALSE,FALSE,FALSE,TRUE,FALSE,Subsidiary of FAT Brands
